"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HCLTECH","EQ","13-Oct-2025","1,495.50","1,490.00","1,502.20","1,476.50","1,494.10","1,494.70","1,489.55","18,20,492","2,71,17,17,243.10","63,174","8,94,373","49.13"
"HCLTECH","EQ","10-Oct-2025","1,486.50","1,491.00","1,498.50","1,473.90","1,492.80","1,495.50","1,490.52","21,29,445","3,17,39,72,712.60","93,770","9,60,347","45.10"
"HCLTECH","EQ","09-Oct-2025","1,453.20","1,453.20","1,491.10","1,452.50","1,484.50","1,486.50","1,481.66","26,81,316","3,97,28,05,972.50","93,076","12,07,654","45.04"
"HCLTECH","BL","08-Oct-2025","1,439.00","1,451.00","1,451.00","1,451.00","1,451.00","1,451.00","1,451.00","2,00,817","29,13,85,467.00","1","-","-"
"HCLTECH","EQ","08-Oct-2025","1,433.40","1,433.20","1,458.70","1,427.20","1,452.50","1,453.20","1,449.94","17,35,807","2,51,68,18,477.20","75,825","8,18,047","47.13"
"HCLTECH","BL","07-Oct-2025","1,403.00","1,439.00","1,439.00","1,439.00","1,439.00","1,439.00","1,439.00","2,00,818","28,89,77,102.00","1","-","-"
"HCLTECH","EQ","07-Oct-2025","1,417.70","1,422.00","1,441.90","1,417.20","1,435.50","1,433.40","1,432.33","15,92,836","2,28,14,59,591.80","62,701","8,25,264","51.81"
"HCLTECH","EQ","06-Oct-2025","1,393.50","1,393.50","1,421.00","1,390.80","1,416.90","1,417.70","1,414.89","19,70,901","2,78,86,11,506.40","80,533","12,75,851","64.73"
"HCLTECH","EQ","03-Oct-2025","1,389.50","1,396.50","1,399.80","1,380.40","1,392.80","1,393.50","1,389.62","27,93,839","3,88,23,64,004.70","83,212","18,47,305","66.12"
"HCLTECH","EQ","01-Oct-2025","1,385.10","1,386.10","1,396.80","1,382.00","1,391.00","1,389.50","1,387.87","22,53,527","3,12,76,07,459.90","84,091","14,38,695","63.84"
"HCLTECH","EQ","30-Sep-2025","1,387.40","1,392.10","1,405.00","1,381.90","1,385.90","1,385.10","1,391.55","27,82,077","3,87,13,98,044.60","1,02,039","19,61,127","70.49"
"HCLTECH","EQ","29-Sep-2025","1,395.30","1,397.10","1,402.60","1,383.00","1,388.00","1,387.40","1,389.77","29,90,852","4,15,65,95,729.70","1,04,613","21,95,904","73.42"
"HCLTECH","EQ","26-Sep-2025","1,423.80","1,420.00","1,426.50","1,392.00","1,395.10","1,395.30","1,399.93","25,68,054","3,59,50,94,521.80","1,03,184","18,76,593","73.07"
"HCLTECH","EQ","25-Sep-2025","1,442.30","1,440.20","1,442.50","1,416.00","1,427.40","1,423.80","1,424.63","27,13,246","3,86,53,79,487.80","1,03,007","18,30,448","67.46"
"HCLTECH","EQ","24-Sep-2025","1,429.80","1,425.10","1,444.70","1,420.00","1,440.20","1,442.30","1,437.54","28,94,044","4,16,03,04,912.30","1,17,797","19,53,465","67.50"
"HCLTECH","EQ","23-Sep-2025","1,439.90","1,444.20","1,444.20","1,420.40","1,431.40","1,429.80","1,429.61","31,06,480","4,44,10,66,491.50","1,05,156","21,72,888","69.95"
"HCLTECH","EQ","22-Sep-2025","1,467.40","1,423.00","1,449.20","1,415.00","1,442.00","1,439.90","1,438.15","44,57,129","6,41,00,38,721.70","1,94,507","26,56,233","59.60"
"HCLTECH","EQ","19-Sep-2025","1,493.80","1,493.80","1,493.80","1,464.00","1,470.00","1,467.40","1,470.86","31,97,957","4,70,37,62,937.10","76,807","22,89,331","71.59"
"HCLTECH","EQ","18-Sep-2025","1,481.50","1,492.60","1,502.90","1,486.10","1,491.90","1,493.80","1,494.93","27,92,406","4,17,44,50,282.10","85,648","18,08,019","64.75"
"HCLTECH","EQ","17-Sep-2025","1,483.10","1,490.80","1,499.00","1,475.30","1,480.60","1,481.50","1,486.66","26,56,774","3,94,97,30,390.50","86,652","16,67,509","62.76"
"HCLTECH","EQ","16-Sep-2025","1,466.50","1,463.90","1,485.20","1,461.10","1,483.00","1,483.10","1,474.82","17,24,524","2,54,33,54,258.80","50,634","11,78,515","68.34"
"HCLTECH","EQ","15-Sep-2025","1,467.20","1,467.20","1,468.30","1,452.00","1,465.40","1,466.50","1,461.11","17,25,617","2,52,13,24,464.30","47,559","11,05,534","64.07"
"HCLTECH","EQ","12-Sep-2025","1,467.70","1,475.00","1,480.00","1,463.00","1,466.00","1,467.20","1,467.45","21,10,883","3,09,76,22,960.60","63,606","15,27,924","72.38"
"HCLTECH","EQ","11-Sep-2025","1,463.90","1,463.90","1,470.40","1,458.30","1,468.30","1,467.70","1,464.18","19,82,922","2,90,33,48,006.60","1,04,762","14,01,426","70.67"
"HCLTECH","EQ","10-Sep-2025","1,427.10","1,434.90","1,471.90","1,432.10","1,464.20","1,463.90","1,462.85","32,05,017","4,68,84,45,299.60","1,08,930","17,92,448","55.93"
"HCLTECH","BL","09-Sep-2025","1,638.30","1,403.00","1,403.00","1,403.00","1,403.00","1,403.00","1,403.00","3,25,000","45,59,75,000.00","1","-","-"
"HCLTECH","EQ","09-Sep-2025","1,403.00","1,410.20","1,431.80","1,409.10","1,425.00","1,427.10","1,424.97","29,06,889","4,14,22,26,337.10","1,20,265","15,23,397","52.41"
"HCLTECH","EQ","08-Sep-2025","1,419.00","1,423.90","1,428.60","1,401.00","1,403.30","1,403.00","1,412.11","29,29,976","4,13,74,43,516.00","82,764","20,85,022","71.16"
"HCLTECH","EQ","05-Sep-2025","1,443.30","1,448.00","1,452.30","1,402.80","1,420.10","1,419.00","1,423.20","38,95,199","5,54,36,57,851.20","1,74,752","22,60,336","58.03"
"HCLTECH","EQ","04-Sep-2025","1,466.10","1,465.10","1,465.90","1,440.90","1,444.20","1,443.30","1,452.76","21,92,155","3,18,46,76,714.70","1,40,871","14,51,614","66.22"
"HCLTECH","EQ","03-Sep-2025","1,465.70","1,475.00","1,475.00","1,452.60","1,465.20","1,466.10","1,460.87","18,00,307","2,63,00,20,249.20","67,692","12,80,150","71.11"
"HCLTECH","EQ","02-Sep-2025","1,468.40","1,469.00","1,477.40","1,459.70","1,465.00","1,465.70","1,467.23","12,95,198","1,90,03,48,772.30","68,937","5,98,492","46.21"
"HCLTECH","EQ","01-Sep-2025","1,454.80","1,446.00","1,472.50","1,446.00","1,469.00","1,468.40","1,466.84","21,05,254","3,08,80,75,836.50","70,246","12,08,174","57.39"
"HCLTECH","EQ","29-Aug-2025","1,449.80","1,449.80","1,462.60","1,439.20","1,453.70","1,454.80","1,455.83","34,04,604","4,95,65,33,680.80","82,963","20,34,701","59.76"
"HCLTECH","EQ","28-Aug-2025","1,492.80","1,488.00","1,488.00","1,446.00","1,450.20","1,449.80","1,457.19","43,67,902","6,36,48,70,712.10","1,70,218","23,56,177","53.94"
"HCLTECH","EQ","26-Aug-2025","1,504.20","1,501.90","1,506.50","1,485.00","1,489.30","1,492.80","1,495.22","40,92,265","6,11,88,49,339.20","90,975","27,96,523","68.34"
"HCLTECH","EQ","25-Aug-2025","1,466.30","1,480.00","1,509.70","1,476.20","1,505.00","1,504.20","1,500.79","27,64,914","4,14,95,44,169.50","1,31,390","18,67,799","67.55"
"HCLTECH","EQ","22-Aug-2025","1,493.50","1,489.60","1,491.50","1,464.00","1,467.10","1,466.30","1,470.96","28,02,805","4,12,28,18,257.10","97,554","17,67,418","63.06"
"HCLTECH","EQ","21-Aug-2025","1,496.00","1,500.00","1,505.00","1,486.10","1,495.00","1,493.50","1,495.28","21,57,601","3,22,62,15,087.90","83,784","13,14,294","60.91"
"HCLTECH","EQ","20-Aug-2025","1,476.10","1,468.00","1,500.30","1,458.00","1,496.00","1,496.00","1,478.37","1,02,19,330","15,10,79,72,962.90","1,35,680","73,99,393","72.41"
"HCLTECH","EQ","19-Aug-2025","1,485.00","1,476.30","1,482.60","1,469.20","1,479.70","1,476.10","1,476.27","25,15,817","3,71,40,33,649.00","1,19,284","16,23,251","64.52"
"HCLTECH","EQ","18-Aug-2025","1,489.80","1,498.10","1,501.90","1,475.90","1,481.60","1,485.00","1,483.48","27,95,155","4,14,65,46,206.90","82,653","18,50,950","66.22"
"HCLTECH","EQ","14-Aug-2025","1,501.10","1,501.00","1,516.20","1,485.80","1,489.00","1,489.80","1,501.41","42,27,538","6,34,72,85,518.50","1,11,160","28,60,915","67.67"
